"Fechas";"Cadena";"Código SAP POS";"Región";"Comuna";"Local";"Online/Offline";"División";"Valores PVP c/IVA"
"Febrero 2024";"Ahumada";"3411435";"13 - Metropolitana de Santiago";"Quilicura";"500 Ahumada - Av. Las Torres 450, Quilicura";"Offline";"Lifestyle";"62.797,490000"
"Febrero 2024";"Ahumada";"3411514";"13 - Metropolitana de Santiago";"Santiago";"607 Ahumada - Huérfanos 811, Santiago";"Offline";"Lifestyle";"48.687,660000"
"Febrero 2024";"Ahumada";"3411444";"13 - Metropolitana de Santiago";"Maipú";"421 Ahumada - Av. Pajaritos 2689, Maipú";"Offline";"Lifestyle";"34.398,140000"
"Febrero 2024";"Ahumada";"3411436";"07 - Maule";"Linares";"404 Ahumada - Av. Leon Bustos 280, Linares";"Offline";"Lifestyle";"81.946,970000"
"Julio 2024";"Ahumada";"3399588";"10 - Los Lagos";"Osorno";"213 Ahumada - Eleuterio Ramirez 981, Osorno";"Offline";"Lifestyle";"559.883,100000"
"Mayo 2024";"Ahumada";"3399595";"13 - Metropolitana de Santiago";"Maipú";"348 Ahumada - Alfredo Silva Carvallo 1415, Maipú";"Offline";"Lifestyle";"825.717,200000"
"Diciembre 2024";"Ahumada";"3411516";"07 - Maule";"Curicó";"349 Ahumada - Jesus Pons 409, Curicó";"Offline";"Lifestyle";"287.158,900000"
"Noviembre 2024";"Ahumada";"3399548";"02 - Antofagasta";"Calama";"120 Ahumada - Latorre 1979, Calama";"Offline";"Lifestyle";"825.479,200000"
"Diciembre 2024";"Ahumada";"3399557";"05 - Valparaíso";"Villa Alemana";"159 Ahumada - Av. Valparaíso 702, Villa Alemana";"Offline";"Lifestyle";"2.088.818,900000"
"Agosto 2024";"Ahumada";"3411476";"04 - Coquimbo";"La Serena";"137 Ahumada - Balmaceda 3463, La Serena";"Offline";"Lifestyle";"417.820,900000"
"Diciembre 2024";"Ahumada";"3411576";"06 - Libertador General Bernardo OHiggins";"Machalí";"535 Ahumada - Av. San Juan 113, Machalí";"Offline";"Lifestyle";"812.258,300000"
"Junio 2024";"Ahumada";"3402844";"04 - Coquimbo";"Coquimbo";"531 Ahumada - Los Clarines 59, Coquimbo";"Offline";"Lifestyle";"759.101,000000"
"Julio 2024";"Ahumada";"3411457";"05 - Valparaíso";"Quilpué";"549 Ahumada - Av. Ramon Freire 2414, Quilpué";"Offline";"Lifestyle";"111.098,400000"
"Junio 2024";"Ahumada";"3399601";"13 - Metropolitana de Santiago";"Maipú";"081 Ahumada - Av. Ramón Freire 2340, Maipú";"Offline";"Lifestyle";"878.160,500000"
"Octubre 2024";"Ahumada";"3399597";"13 - Metropolitana de Santiago";"Huechuraba";"659 Ahumada - Av. Américo Vespucio Norte 1737, Huechuraba";"Offline";"Lifestyle";"630.747,600000"
"Noviembre 2024";"Ahumada";"3411399";"13 - Metropolitana de Santiago";"Ñuñoa";"316 Ahumada - Av. Campos de Deportes 156, Ñuñoa";"Offline";"Lifestyle";"68.996,200000"
"Agosto 2024";"Ahumada";"3411380";"09 - La Araucanía";"Temuco";"320 Ahumada - Av. Alemania 0671, Temuco";"Offline";"Lifestyle";"976.728,200000"
"Noviembre 2024";"Ahumada";"3411350";"08 - Biobío";"Los Ángeles";"540 Ahumada - Ercilla 190, Los Ángeles";"Offline";"Lifestyle";"497.360,500000"
"Noviembre 2024";"Ahumada";"3411345";"05 - Valparaíso";"Quillota";"490 Ahumada - OHiggins 114-116, Quillota";"Offline";"Lifestyle";"533.584,100000"
"Diciembre 2024";"Ahumada";"3399558";"05 - Valparaíso";"Viña del Mar";"145 Ahumada - Libertad 335, Viña del Mar";"Offline";"Lifestyle";"2.168.394,200000"
"Diciembre 2024";"Ahumada";"3399576";"09 - La Araucanía";"Temuco";"209 Ahumada - Manuel Montt 901, Temuco";"Offline";"Lifestyle";"2.025.879,800000"
"Febrero 2024";"Ahumada";"3399595";"13 - Metropolitana de Santiago";"Maipú";"348 Ahumada - Alfredo Silva Carvallo 1415, Maipú";"Offline";"Lifestyle";"720.431,950000"
"Febrero 2024";"Ahumada";"3411453";"13 - Metropolitana de Santiago";"Santiago";"462 Ahumada - Av. Portugal 480, Santiago";"Offline";"Lifestyle";"275.073,260000"
"Febrero 2024";"Ahumada";"3411358";"12 - Magallanes y de la Antártica Chilena";"Punta Arenas";"233 Ahumada - Bories 950, Punta Arenas";"Offline";"Lifestyle";"508.941,580000"
"Febrero 2024";"Ahumada";"3411438";"13 - Metropolitana de Santiago";"Estación Central";"456 Ahumada - Av. Libertador Bernardo OHiggins 5199, Estación Central";"Offline";"Lifestyle";"270.636,940000"
"Febrero 2024";"Ahumada";"3411565";"13 - Metropolitana de Santiago";"Melipilla";"603 Ahumada - Serrano 395, Melipilla";"Offline";"Lifestyle";"34.153,000000"
"Febrero 2024";"Ahumada";"3411476";"04 - Coquimbo";"La Serena";"137 Ahumada - Balmaceda 3463, La Serena";"Offline";"Lifestyle";"366.573,550000"
"Febrero 2024";"Ahumada";"3411570";"07 - Maule";"Cauquenes";"318 Ahumada - Victoria 501, Cauquenes";"Offline";"Lifestyle";"217.779,520000"
"Febrero 2024";"Ahumada";"3411529";"13 - Metropolitana de Santiago";"Vitacura";"091 Ahumada - Luis Pasteur 5875, Vitacura";"Offline";"Lifestyle";"158.641,280000"
"Febrero 2024";"Ahumada";"3411384";"13 - Metropolitana de Santiago";"Vitacura";"317 Ahumada - Av. Américo Vespucio 2515, Vitacura";"Offline";"Lifestyle";"81.346,020000"
"Febrero 2024";"Ahumada";"3402841";"13 - Metropolitana de Santiago";"San Miguel";"288 Ahumada - Av. Jose Miguel Carrera 5919, San Miguel";"Offline";"Lifestyle";"361.781,420000"
"Febrero 2024";"Ahumada";"3402843";"13 - Metropolitana de Santiago";"Independencia";"652 Ahumada - Av. Fermín Vivaceta 1018, Independencia";"Offline";"Lifestyle";"287.684,880000"
"Febrero 2024";"Ahumada";"3402846";"05 - Valparaíso";"Viña del Mar";"141 Ahumada - Av. Valparaíso 505, Viña del Mar";"Offline";"Lifestyle";"231.405,020000"
"Febrero 2024";"Ahumada";"3411469";"13 - Metropolitana de Santiago";"La Florida";"237 Ahumada - Av. Vicuña Mackenna 6100, La Florida";"Offline";"Lifestyle";"15.341,480000"
"Febrero 2024";"Ahumada";"3411498";"13 - Metropolitana de Santiago";"Colina";"092 Ahumada - Carretera Gral. San Martín 068, Colina";"Offline";"Lifestyle";"82.555,060000"
"Febrero 2024";"Ahumada";"3411446";"13 - Metropolitana de Santiago";"Las Condes";"383 Ahumada - Av. Paul Harris 10287, Las Condes";"Offline";"Lifestyle";"76.201,650000"
"Febrero 2024";"Ahumada";"3411551";"13 - Metropolitana de Santiago";"Providencia";"282 Ahumada - Providencia 2001, Providencia";"Offline";"Lifestyle";"87.196,060000"
"Febrero 2024";"Ahumada";"3411463";"06 - Libertador General Bernardo OHiggins";"Rancagua";"400 Ahumada - Eduardo Frei 190, Rancagua";"Offline";"Lifestyle";"187.892,670000"
"Febrero 2024";"Ahumada";"3411450";"13 - Metropolitana de Santiago";"Ñuñoa";"460 Ahumada - Av. Pedro de Valdivia 3774, Ñuñoa";"Offline";"Lifestyle";"115.744,160000"
"Septiembre 2024";"Ahumada";"3411350";"08 - Biobío";"Los Ángeles";"540 Ahumada - Ercilla 190, Los Ángeles";"Offline";"Lifestyle";"299.035,100000"
"Junio 2024";"Ahumada";"3411348";"10 - Los Lagos";"Puerto Montt";"221 Ahumada - Juan Soler Manfredini 41, Puerto Montt";"Offline";"Lifestyle";"832.405,000000"
"Marzo 2024";"Ahumada";"3411346";"05 - Valparaíso";"Villa Alemana";"669 Ahumada - Camino Troncal 1591, Villa Alemana";"Offline";"Lifestyle";"645.348,900000"
"Mayo 2024";"Ahumada";"3399596";"13 - Metropolitana de Santiago";"San Miguel";"336 Ahumada - Gran Avenida 5001, San Miguel";"Offline";"Lifestyle";"957.069,400000"
"Marzo 2024";"Ahumada";"3411370";"15 - Arica y Parinacota";"Arica";"357 Ahumada - 18 Septiembre 1402, Arica";"Offline";"Lifestyle";"517.614,300000"
"Septiembre 2024";"Ahumada";"3411529";"13 - Metropolitana de Santiago";"Vitacura";"091 Ahumada - Luis Pasteur 5875, Vitacura";"Offline";"Lifestyle";"161.685,300000"
"Octubre 2024";"Ahumada";"3402840";"07 - Maule";"Talca";"170 Ahumada - 1 Sur 1399, Talca";"Offline";"Lifestyle";"611.945,600000"
"Diciembre 2024";"Ahumada";"3399610";"14 - Los Ríos";"Valdivia";"444 Ahumada - Bueras 1400, Valdivia";"Offline";"Lifestyle";"1.946.042,700000"
"Octubre 2024";"Ahumada";"3399612";"16 - Ñuble";"Chillán";"183 Ahumada - 5 de Abril 702, Chillán";"Offline";"Lifestyle";"890.822,100000"
"Noviembre 2024";"Ahumada";"3411351";"13 - Metropolitana de Santiago";"Macul";"374 Ahumada - Av. Vicuña Mackenna 4102, Macul";"Offline";"Lifestyle";"439.824,000000"
"Septiembre 2024";"Ahumada";"3411405";"16 - Ñuble";"Chillán";"478 Ahumada - Av. Collin 698, Chillán";"Offline";"Lifestyle";"222.565,700000"
"Septiembre 2024";"Ahumada";"3399569";"08 - Biobío";"Hualpén";"191 Ahumada - Av. Colón 8961, Hualpén";"Offline";"Lifestyle";"1.262.244,900000"
"Junio 2024";"Ahumada";"3411457";"05 - Valparaíso";"Quilpué";"549 Ahumada - Av. Ramon Freire 2414, Quilpué";"Offline";"Lifestyle";"200.241,300000"
"Junio 2024";"Ahumada";"3399549";"02 - Antofagasta";"Calama";"258 Ahumada - Av. Balmaceda 3242, Calama";"Offline";"Lifestyle";"689.105,200000"
"Junio 2024";"Ahumada";"3399605";"13 - Metropolitana de Santiago";"La Florida";"292 Ahumada - Av. La Florida 9497, La Florida";"Offline";"Lifestyle";"978.263,300000"
"Noviembre 2024";"Ahumada";"3436215";"13 - Metropolitana de Santiago";"Independencia";"686 Ahumada - Av. Independencia 565, Independencia";"Offline";"Lifestyle";"43.101,800000"
"Enero 2024";"Ahumada";"3411453";"13 - Metropolitana de Santiago";"Santiago";"462 Ahumada - Av. Portugal 480, Santiago";"Offline";"Lifestyle";"215.038,950000"
"Agosto 2024";"Ahumada";"3402840";"07 - Maule";"Talca";"170 Ahumada - 1 Sur 1399, Talca";"Offline";"Lifestyle";"308.828,800000"
"Mayo 2024";"Ahumada";"3411358";"12 - Magallanes y de la Antártica Chilena";"Punta Arenas";"233 Ahumada - Bories 950, Punta Arenas";"Offline";"Lifestyle";"571.937,800000"
"Julio 2024";"Ahumada";"3399598";"13 - Metropolitana de Santiago";"Puente Alto";"076 Ahumada - Av. Concha y Toro 1149, Puente Alto";"Offline";"Lifestyle";"1.278.762,100000"
"Agosto 2024";"Ahumada";"3399578";"10 - Los Lagos";"Puerto Montt";"443 Ahumada - Av. Parque Industrial 400, Puerto Montt";"Offline";"Lifestyle";"1.828.565,900000"
"Junio 2024";"Ahumada";"3399554";"03 - Atacama";"Copiapó";"131 Ahumada - OHiggins 561, Copiapó";"Offline";"Lifestyle";"684.607,000000"
"Octubre 2024";"Ahumada";"3411533";"08 - Biobío";"Coronel";"473 Ahumada - Manuel Montt 2328, Coronel";"Offline";"Lifestyle";"301.141,400000"
"Febrero 2024";"Ahumada";"3411462";"06 - Libertador General Bernardo OHiggins";"Santa Cruz";"236 Ahumada - Rafael Casanova 104, Santa Cruz";"Offline";"Lifestyle";"881.497,260000"
"Febrero 2024";"Ahumada";"3399588";"10 - Los Lagos";"Osorno";"213 Ahumada - Eleuterio Ramirez 981, Osorno";"Offline";"Lifestyle";"946.115,450000"
"Febrero 2024";"Ahumada";"3399587";"10 - Los Lagos";"Puerto Montt";"654 Ahumada - Av. Presidente Ibáñez 1433, Puerto Montt";"Offline";"Lifestyle";"646.156,910000"
"Febrero 2024";"Ahumada";"3411345";"05 - Valparaíso";"Quillota";"490 Ahumada - OHiggins 114-116, Quillota";"Offline";"Lifestyle";"495.218,500000"
"Febrero 2024";"Ahumada";"3399609";"14 - Los Ríos";"La Unión";"312 Ahumada - Esmeralda 723, La Unión";"Offline";"Lifestyle";"717.161,830000"
"Febrero 2024";"Ahumada";"3402829";"16 - Ñuble";"Chillán";"313 Ahumada - Carretera Longuitudinal 134, Chillán";"Offline";"Lifestyle";"768.575,780000"
"Febrero 2024";"Ahumada";"3411466";"13 - Metropolitana de Santiago";"Las Condes";"414 Ahumada - Av. Tomás Moro 1149, Las Condes";"Offline";"Lifestyle";"53.997,440000"
"Febrero 2024";"Ahumada";"3399564";"07 - Maule";"Talca";"611 Ahumada - Av. Circunvalación Oriente 1055, Talca";"Offline";"Lifestyle";"623.694,470000"
"Febrero 2024";"Ahumada";"3411520";"13 - Metropolitana de Santiago";"Buin";"644 Ahumada - Jose Manuel Balmaceda 124, Buin";"Offline";"Lifestyle";"67.815,720000"
"Febrero 2024";"Ahumada";"3399608";"13 - Metropolitana de Santiago";"Santiago";"069 Ahumada - Paseo Ahumada 226, Santiago";"Offline";"Lifestyle";"435.078,280000"
"Febrero 2024";"Ahumada";"3411552";"05 - Valparaíso";"Viña del Mar";"153 Ahumada - Rafael Sotomayor 230, Viña del Mar";"Offline";"Lifestyle";"107.041,690000"
"Febrero 2024";"Ahumada";"3411365";"08 - Biobío";"Los Ángeles";"418 Ahumada - Av. Ricardo Vicuña 284, Los Ángeles";"Offline";"Lifestyle";"198.841,860000"
"Febrero 2024";"Ahumada";"3411568";"01 - Tarapacá";"Iquique";"647 Ahumada - Teresa Wilms Montt 2263, Iquique";"Offline";"Lifestyle";"105.194,810000"
"Febrero 2024";"Ahumada";"3411415";"13 - Metropolitana de Santiago";"Providencia";"203 Ahumada - Av. Francisco Bilbao 2489, Providencia";"Offline";"Lifestyle";"33.085,570000"
"Diciembre 2024";"Ahumada";"3399594";"13 - Metropolitana de Santiago";"La Cisterna";"297 Ahumada - Gran Avenida 7406, La Cisterna";"Offline";"Lifestyle";"4.322.972,500000"
"Noviembre 2024";"Ahumada";"3411476";"04 - Coquimbo";"La Serena";"137 Ahumada - Balmaceda 3463, La Serena";"Offline";"Lifestyle";"427.126,700000"
"Abril 2024";"Ahumada";"3411421";"01 - Tarapacá";"Iquique";"437 Ahumada - Av. Heroes de la Concepción 2653, Iquique";"Offline";"Lifestyle";"85.763,300000"
"Septiembre 2024";"Ahumada";"3399548";"02 - Antofagasta";"Calama";"120 Ahumada - Latorre 1979, Calama";"Offline";"Lifestyle";"679.478,100000"
"Octubre 2024";"Ahumada";"3411473";"13 - Metropolitana de Santiago";"Vitacura";"351 Ahumada - Av. Vitacura 6345, Vitacura";"Offline";"Lifestyle";"271.843,600000"
"Diciembre 2024";"Ahumada";"3411548";"13 - Metropolitana de Santiago";"San Bernardo";"593 Ahumada - Portales 3896, San Bernardo";"Offline";"Lifestyle";"723.781,800000"
"Enero 2024";"Ahumada";"3399603";"13 - Metropolitana de Santiago";"San Miguel";"393 Ahumada - Gran Avenida 6150, San Miguel";"Offline";"Lifestyle";"1.053.617,670000"
"Diciembre 2024";"Ahumada";"3411482";"05 - Valparaíso";"Valparaíso";"583 Ahumada - Caletera 1502, Valparaíso";"Offline";"Lifestyle";"1.369.725,700000"
"Junio 2024";"Ahumada";"3402829";"16 - Ñuble";"Chillán";"313 Ahumada - Carretera Longuitudinal 134, Chillán";"Offline";"Lifestyle";"730.362,500000"
"Julio 2024";"Ahumada";"3399554";"03 - Atacama";"Copiapó";"131 Ahumada - OHiggins 561, Copiapó";"Offline";"Lifestyle";"844.138,400000"
"Diciembre 2024";"Ahumada";"3399612";"16 - Ñuble";"Chillán";"183 Ahumada - 5 de Abril 702, Chillán";"Offline";"Lifestyle";"2.417.913,400000"
"Abril 2024";"Ahumada";"3411360";"10 - Los Lagos";"Osorno";"555 Ahumada - Guillermo Buhler 1799, Osorno";"Offline";"Lifestyle";"336.401,100000"
"Octubre 2024";"Ahumada";"3411414";"13 - Metropolitana de Santiago";"Lo Barnechea";"243 Ahumada - Av. El Rodeo 12850, Lo Barnechea";"Offline";"Lifestyle";"312.220,300000"
"Septiembre 2024";"Ahumada";"3402844";"04 - Coquimbo";"Coquimbo";"531 Ahumada - Los Clarines 59, Coquimbo";"Offline";"Lifestyle";"604.662,800000"
"Diciembre 2024";"Ahumada";"3399553";"03 - Atacama";"Copiapó";"621 Ahumada - Los Carrera S/N, Esq. El Inca, Copiapó";"Offline";"Lifestyle";"1.855.686,000000"
"Enero 2024";"Ahumada";"3411384";"13 - Metropolitana de Santiago";"Vitacura";"317 Ahumada - Av. Américo Vespucio 2515, Vitacura";"Offline";"Lifestyle";"96.985,000000"
"Junio 2024";"Ahumada";"3399571";"08 - Biobío";"Los Ángeles";"571 Ahumada - Av. Sor Vicenta 2575, Los Ángeles";"Offline";"Lifestyle";"1.406.389,600000"
"Septiembre 2024";"Ahumada";"3399601";"13 - Metropolitana de Santiago";"Maipú";"081 Ahumada - Av. Ramón Freire 2340, Maipú";"Offline";"Lifestyle";"1.043.177,800000"
"Julio 2024";"Ahumada";"3399570";"08 - Biobío";"Concepción";"240 Ahumada - Barros Arana 726, Concepción";"Offline";"Lifestyle";"903.436,100000"
"Noviembre 2024";"Ahumada";"3411512";"09 - La Araucanía";"Temuco";"368 Ahumada - Hochstetter 890, Temuco";"Offline";"Lifestyle";"93.284,100000"
"Enero 2024";"Ahumada";"3402841";"13 - Metropolitana de Santiago";"San Miguel";"288 Ahumada - Av. Jose Miguel Carrera 5919, San Miguel";"Offline";"Lifestyle";"505.972,530000"
"Junio 2024";"Ahumada";"3399716";"02 - Antofagasta";"Antofagasta";"355 Ahumada - Av. Balmaceda 2408, Antofagasta";"Offline";"Lifestyle";"1.048.413,800000"
"Septiembre 2024";"Ahumada";"3399559";"06 - Libertador General Bernardo OHiggins";"San Fernando";"163 Ahumada - Manuel Rodriguez 902, San Fernando";"Offline";"Lifestyle";"640.517,500000"
"Octubre 2024";"Ahumada";"3411494";"13 - Metropolitana de Santiago";"Las Condes";"358 Ahumada - Camino El Alba 11969, Las Condes";"Offline";"Lifestyle";"120.880,200000"
"Octubre 2024";"Ahumada";"3411482";"05 - Valparaíso";"Valparaíso";"583 Ahumada - Caletera 1502, Valparaíso";"Offline";"Lifestyle";"584.992,100000"
"Mayo 2024";"Ahumada";"3399572";"08 - Biobío";"Talcahuano";"276 Ahumada - Av. Pdte. Jorge Alessandri Rodriguez 3177, Talcahuano";"Offline";"Lifestyle";"1.343.045,900000"
"Mayo 2024";"Ahumada";"3411502";"05 - Valparaíso";"Quilpué";"219 Ahumada - Diego Portales 802, Quilpué";"Offline";"Lifestyle";"552.112,400000"
"Mayo 2024";"Ahumada";"3399604";"13 - Metropolitana de Santiago";"Las Condes";"058 Ahumada - Av. Cristobal Colón 5090, Las Condes";"Offline";"Lifestyle";"363.735,400000"
"Febrero 2024";"Ahumada";"3399567";"08 - Biobío";"Los Ángeles";"466 Ahumada - Colón 468, Los Ángeles";"Offline";"Lifestyle";"1.170.043,700000"
"Febrero 2024";"Ahumada";"3399594";"13 - Metropolitana de Santiago";"La Cisterna";"297 Ahumada - Gran Avenida 7406, La Cisterna";"Offline";"Lifestyle";"1.660.973,440000"
"Febrero 2024";"Ahumada";"3399576";"09 - La Araucanía";"Temuco";"209 Ahumada - Manuel Montt 901, Temuco";"Offline";"Lifestyle";"500.665,130000"
"Febrero 2024";"Ahumada";"3411364";"05 - Valparaíso";"Puchuncaví";"650 Ahumada - Isidro Gaete 476, Puchuncaví";"Offline";"Lifestyle";"591.752,490000"
"Febrero 2024";"Ahumada";"3399558";"05 - Valparaíso";"Viña del Mar";"145 Ahumada - Libertad 335, Viña del Mar";"Offline";"Lifestyle";"577.748,570000"
"Febrero 2024";"Ahumada";"3411432";"13 - Metropolitana de Santiago";"La Reina";"035 Ahumada - Av. Larraín 6563, La Reina";"Offline";"Lifestyle";"257.682,600000"
"Febrero 2024";"Ahumada";"3411397";"13 - Metropolitana de Santiago";"Las Condes";"413 Ahumada - Av. Camino El Alba, Las Condes";"Offline";"Lifestyle";"206.591,140000"
"Febrero 2024";"Ahumada";"3399603";"13 - Metropolitana de Santiago";"San Miguel";"393 Ahumada - Gran Avenida 6150, San Miguel";"Offline";"Lifestyle";"605.868,270000"
"Febrero 2024";"Ahumada";"3411422";"13 - Metropolitana de Santiago";"Ñuñoa";"388 Ahumada - Av. Irarrázaval 2928, Ñuñoa";"Offline";"Lifestyle";"100.336,040000"
"Febrero 2024";"Ahumada";"3436302";"02 - Antofagasta";"Antofagasta";"346 Ahumada - Angamos 745, Antofagasta";"Offline";"Lifestyle";"110.245,170000"
"Febrero 2024";"Ahumada";"3411571";"13 - Metropolitana de Santiago";"San Joaquín";"570 Ahumada - Vicuña Mackenna 3361, San Joaquín";"Offline";"Lifestyle";"207.608,590000"
"Febrero 2024";"Ahumada";"3411385";"13 - Metropolitana de Santiago";"Peñalolén";"412 Ahumada - Av. Américo Vespucio 3100, Peñalolén";"Offline";"Lifestyle";"36.798,370000"
"Febrero 2024";"Ahumada";"3411420";"13 - Metropolitana de Santiago";"Ñuñoa";"365 Ahumada - Av. Grecia 3031, Ñuñoa";"Offline";"Lifestyle";"64.146,950000"
"Febrero 2024";"Ahumada";"3411417";"13 - Metropolitana de Santiago";"Estación Central";"387 Ahumada - Av. General Velasquez 060, Estación Central";"Offline";"Lifestyle";"65.607,080000"
"Febrero 2024";"Ahumada";"3411517";"13 - Metropolitana de Santiago";"San Bernardo";"595 Ahumada - Jorge Alessandri 20040, San Bernardo";"Offline";"Lifestyle";"83.535,620000"
"Febrero 2024";"Ahumada";"3411523";"13 - Metropolitana de Santiago";"Providencia";"495 Ahumada - La Concepción 135, Providencia";"Offline";"Lifestyle";"66.747,100000"
"Febrero 2024";"Ahumada";"3411407";"13 - Metropolitana de Santiago";"Puente Alto";"339 Ahumada - Av. Concha y Toro 26, Puente Alto";"Offline";"Lifestyle";"63.647,150000"
"Diciembre 2024";"Ahumada";"3399572";"08 - Biobío";"Talcahuano";"276 Ahumada - Av. Pdte. Jorge Alessandri Rodriguez 3177, Talcahuano";"Offline";"Lifestyle";"6.760.259,100000"
"Julio 2024";"Ahumada";"3399601";"13 - Metropolitana de Santiago";"Maipú";"081 Ahumada - Av. Ramón Freire 2340, Maipú";"Offline";"Lifestyle";"636.899,900000"
"Marzo 2024";"Ahumada";"3399548";"02 - Antofagasta";"Calama";"120 Ahumada - Latorre 1979, Calama";"Offline";"Lifestyle";"1.081.019,800000"
"Abril 2024";"Ahumada";"3399607";"13 - Metropolitana de Santiago";"Las Condes";"212 Ahumada - San Damián 20, Las Condes";"Offline";"Lifestyle";"666.554,700000"
"Noviembre 2024";"Ahumada";"3411453";"13 - Metropolitana de Santiago";"Santiago";"462 Ahumada - Av. Portugal 480, Santiago";"Offline";"Lifestyle";"370.209,000000"
"Noviembre 2024";"Ahumada";"3411438";"13 - Metropolitana de Santiago";"Estación Central";"456 Ahumada - Av. Libertador Bernardo OHiggins 5199, Estación Central";"Offline";"Lifestyle";"570.807,300000"
"Junio 2024";"Ahumada";"3411502";"05 - Valparaíso";"Quilpué";"219 Ahumada - Diego Portales 802, Quilpué";"Offline";"Lifestyle";"574.900,900000"
"Septiembre 2024";"Ahumada";"3399549";"02 - Antofagasta";"Calama";"258 Ahumada - Av. Balmaceda 3242, Calama";"Offline";"Lifestyle";"658.569,800000"
"Abril 2024";"Ahumada";"3411453";"13 - Metropolitana de Santiago";"Santiago";"462 Ahumada - Av. Portugal 480, Santiago";"Offline";"Lifestyle";"333.485,600000"
"Diciembre 2024";"Ahumada";"3402840";"07 - Maule";"Talca";"170 Ahumada - 1 Sur 1399, Talca";"Offline";"Lifestyle";"1.966.796,300000"
"Junio 2024";"Ahumada";"3399596";"13 - Metropolitana de Santiago";"San Miguel";"336 Ahumada - Gran Avenida 5001, San Miguel";"Offline";"Lifestyle";"1.112.899,900000"
