;;;;;Valores PVP c/IVA;;;
Maicao;3394289;047 Maicao - Cordovez 687, La Serena;Offline;Lifestyle;3.575.396,82;3.143.854,98;2.354.956,05;2150065,07
Maicao;3399325;211 Maicao - Esmeralda 706, La Unión;Offline;Lifestyle;4.425.435,83;4.513.713,93;4.119.601,11;3113651,077
Maicao;3394394;265 Maicao - Av. Valparaíso 901-905, Viña del Mar;Offline;Lifestyle;2.992.840,98;2.915.777,92;2.272.180,13;2012499,083
Maicao;3394427;453 Maicao - Eyzaguirre 665, San Bernardo;Offline;Lifestyle;2.025.203,89;1.457.051,95;1.964.708,12;1868470,027
Maicao;No Definido;480 Maicao - Av. Andres Bello 2447 Loc 264, Providencia;Offline;Lifestyle;0;639.273,99;0,00;1019784,007
Preunic;3394306;012 Preunic - Barros Arana 774, Concepción;Offline;Lifestyle;12.078.479,77;12.626.240,34;10.239.835,76;9144452,66
Preunic;3394323;103 Preunic - Chacabuco 255, Quillota;Offline;Lifestyle;1.778.256,27;2.012.237,64;1.964.153,31;1455855,52
Preunic;3399348;053 Preunic - Manuel Rodriguez 720, San Fernando;Offline;Lifestyle;2.177.724,99;2.931.205,62;2.207.566,62;2790407,2
Preunic;3394420;013 Preunic - Av. Eyzaguirre 591, San Bernardo;Offline;Lifestyle;2.569.770,49;2.259.883,78;3.215.344,30;2457323,82
Maicao;3398985;242 Maicao - Vivar 836, Iquique;Offline;Lifestyle;908.670,92;911.025,94;974.549,96;987138,0701
Maicao;3399032;018 Maicao - José Joaquín Pérez 142, Calera;Offline;Lifestyle;1.928.603,93;0;1.836.377,04;0
Maicao;3399159;419 Maicao - Bernardo OHiggins 372, Pucón;Offline;Lifestyle;2.969.193,89;3.307.400,99;2.668.041,06;2748178,967
Maicao;3399235;011 Maicao - Recoleta 305, Recoleta;Offline;Lifestyle;1.183.936,90;1.149.116,98;1.269.856,09;679711,0306
Maicao;3399126;400 Maicao - Barros Arana 780, Concepción;Offline;Lifestyle;2.498.106,86;2.529.458,93;2.392.238,00;2215923,121
Maicao;3399239;291 Maicao - Av. 5 de Abril #33, Maipú;Offline;Lifestyle;2.782.033,93;2.629.824,96;2.182.754,03;1706290,08
Maicao;3399124;256 Maicao - Colón 426, Los Ángeles;Offline;Lifestyle;3.337.407,78;3.166.451,91;2.754.483,02;2995832,211
Maicao;3394435;233 Maicao - San Diego 2102, Santiago;Offline;Lifestyle;1.722.162,87;1.361.529,92;1.441.298,13;1474169,001
Maicao;3399118;078 Maicao - Colón 260, Talcahuano;Offline;Lifestyle;4.139.496,75;3.236.991,94;3.245.090,98;2480246,052
Maicao;3399125;411 Maicao - Manuel Montt 1062, Tomé;Offline;Lifestyle;3.730.382,84;2.605.153,94;2.735.789,08;2636148,095
Maicao;3399000;276 Maicao - Constitución 415, Illapel;Offline;Lifestyle;4.864.313,71;3.862.841,88;4.361.339,16;2820820,042
Maicao;3436307;465 Maicao - Comercio # 569, locales 5-6, Río Bueno;Offline;Lifestyle;3.279.424,79;3.213.680,92;2.420.041,06;2397877,084
Maicao;3399030;057 Maicao - Av. Valparaíso 620, Villa Alemana;Offline;Lifestyle;2.468.921,92;2.352.114,94;2.315.263,05;1912404,113
Maicao;3399001;454 Maicao - Gregorio Cordovez # 516;Offline;Lifestyle;2.325.225,92;2.764.625,02;2.442.115,10;2654074,136
Maicao;3436280;470 Maicao - Ohiggins 581, Santiago;Offline;Lifestyle;3.192.056,83;3.892.761,95;3.386.799,07;3445241,185
Preunic;3394326;024 Preunic - Av. Baquedano 676, Antofagasta;Offline;Lifestyle;6.881.274,96;5.192.112,80;6.010.572,19;4521111,07
Preunic;3399532;086 Preunic - Balmaceda 298, Buin;Offline;Lifestyle;4.054.521,59;4.917.561,95;5.908.756,98;4333456,4
Preunic;3399547;076 Preunic - Ramón Picarte 333, Valdivia;Offline;Lifestyle;2.078.313,58;1.706.188,68;1.949.936,38;1286883,85
Preunic;3394349;078 Preunic - Jorge Alessandri 3177, Talcahuano;Offline;Lifestyle;3.813.328,82;3.749.267,55;3.865.474,62;2254782,25
Preunic;3399522;065 Preunic - Uno Sur 1537, Talca;Offline;Lifestyle;3.759.740,74;3.452.049,58;3.560.854,85;2365452,25
Preunic;3399536;104 Preunic - Huérfanos 735, Santiago;Offline;Lifestyle;1.445.895,22;1.461.565,14;1.470.490,14;691247,2
Preunic;3394522;028 Preunic - Av. Pajaritos 2100, Maipú;Offline;Lifestyle;1.445.971,38;1.050.997,29;1.353.041,90;1047773,58
Preunic;3394358;081 Preunic - Vicuña Mackenna 66, Ovalle;Offline;Lifestyle;3.535.390,04;4.216.454,41;3.161.114,81;2808297,66
Preunic;3394315;014 Preunic - Av. Libertad 1348, Viña del Mar;Offline;Lifestyle;5.585.175,75;5.143.001,50;5.655.001,38;4870114,27
Preunic;3399541;058 Preunic - Av. Apoquindo 6033, Las Condes;Offline;Lifestyle;1.040.201,61;836.422,44;1.228.948,70;628497,31
Maicao;3399160;079 Maicao - Diego Portales 986, Temuco;Offline;Lifestyle;1.608.845,93;1.733.537,90;1.407.057,01;913801,0595
Maicao;3399220;259 Maicao - José Manuel Balmaceda 224, Buin;Offline;Lifestyle;4.388.586,76;3.740.509,95;4.566.771,05;3805625,212
Maicao;3399241;034 Maicao - San Isidro 23, Santiago;Offline;Lifestyle;1.285.846,99;1.743.726,97;1.186.630,00;1229876,043
Maicao;3394389;025 Maicao - Av. Valparaíso 612, Viña del Mar;Offline;Lifestyle;4.159.274,92;3.220.408,92;3.608.312,97;2537122,174
Maicao;3436281;468 Maicao - Av. Pedro Montt 2625, Valparaíso;Offline;Lifestyle;578.579,00;839.421,00;640.853,00;828790,0299
Maicao;3399261;002 Maicao - Unión Latino Americana 34, Santiago;Offline;Lifestyle;261.396,97;688.114,98;324.619,01;318382,0129
Preunic;3394332;097 Preunic - Eleuterio Ramírez 2078, Calama;Offline;Lifestyle;1.855.956,13;2.509.056,69;1.724.651,53;2669360,4
Preunic;3399346;009 Preunic - Av. Independencia 780, Rancagua;Offline;Lifestyle;9.927.404,83;10.111.869,11;8.870.759,80;7579170,69
Preunic;3399543;119 Preunic - Av. Independencia 565, Independencia;Offline;Lifestyle;820.320,55;982.519,93;1.152.541,18;592580,73
Preunic;3394491;100 Preunic - Av. Concha y Toro 160, Puente Alto;Offline;Lifestyle;2.549.575,00;1.920.938,46;2.385.802,44;1998715,67
Preunic;3436232;134 Preunic - Av. Balmaceda 2355, Antofagasta;Offline;Lifestyle;3.029.745,95;2.448.465,46;3.247.061,37;2512627,88
Maicao;3399245;004 Maicao - Meiggs 13, Santiago;Offline;Lifestyle;1.132.763,93;996.275,95;1.023.068,06;946939,0609
Maicao;3399257;049 Maicao - San Antonio 282, Santiago;Offline;Lifestyle;259.992,97;778.967,98;454.918,98;421287,013
Maicao;3399161;063 Maicao - Bulnes 303, Temuco;Offline;Lifestyle;1.254.153,91;659.828,94;953.843,05;0
Maicao;3399181;064 Maicao - Eleuterio Ramírez 1085, Osorno;Offline;Lifestyle;2.894.767,89;2.386.589,91;2.415.879,05;1937379,143
Maicao;3394295;424 Maicao - Baquedano 86, Coquimbo;Offline;Lifestyle;2.987.680,84;1.635.263,97;2.075.078,10;1492024,083
Maicao;3399119;227 Maicao - Esmeralda 312, Arauco;Offline;Lifestyle;5.872.311,69;6.008.946,82;5.354.711,08;4508478,101
Maicao;3394395;410 Maicao - Av. Valparaíso 1070, Viña del Mar;Offline;Lifestyle;2.540.014,96;2.380.731,96;2.321.319,05;2230994,055
Maicao;3399214;281 Maicao - Carlos Bories 735, Punta Arenas;Offline;Lifestyle;1.460.183,98;2.253.680,95;987.790,01;1425653,07
Maicao;3399229;058 Maicao - Serrano 395, Melipilla;Offline;Lifestyle;3.627.445,77;2.922.085,90;3.033.036,95;2602591,142
Maicao;3399099;266 Maicao - Peña 884, Curicó;Offline;Lifestyle;915.901,95;831.475,96;944.209,01;1134732,033
Maicao;3399067;056 Maicao - Independencia 784, Rancagua;Offline;Lifestyle;2.475.547,83;2.247.497,95;1.933.373,03;1202620,093
Maicao;3399262;289 Maicao - Av. Libertador Bernardo OHiggins 1322, Santiago;Offline;Lifestyle;459.883,01;854.282,01;759.379,02;722122,0237
Maicao;3394495;097 Maicao - Av. Concha y Toro 464, Puente Alto;Offline;Lifestyle;1.448.393,95;1.073.281,98;1.113.773,03;1105519,032
Preunic;3394330;054 Preunic - Av. Balmaceda 3242, Calama;Offline;Lifestyle;1.726.400,83;1.576.750,00;2.098.650,68;1277042,55
Preunic;3399533;074 Preunic - Plaza de Armas 489, Melipilla;Offline;Lifestyle;2.031.625,12;2.035.981,71;1.962.559,90;1869373,38
Preunic;3394520;020 Preunic - Av. Américo Vespucio 1737, Huechuraba;Offline;Lifestyle;4.052.792,52;2.581.738,32;3.744.414,73;3425619,68
Preunic;3394334;121 Preunic - Las Terrazas 1203-1205, Antofagasta;Offline;Lifestyle;5.021.676,24;4.754.853,25;5.274.541,72;4345631,29
Preunic;3394333;114 Preunic - Av. Diego Portales 640, Arica;Offline;Lifestyle;1.842.944,67;1.699.159,35;2.115.597,47;1529021,48
Preunic;3399542;124 Preunic - Avenida San Martin 50, local 10;Offline;Lifestyle;2.514.510,46;2.987.204,64;3.196.003,23;2375859,99
Preunic;3394325;126 Preunic - Jose Joaquín Pérez 233, Calera;Offline;Lifestyle;2.481.969,91;2.347.579,64;1.870.607,41;1457116,92
Preunic;No Definido;147 Preunic - Av. Américo Vespucio N 399 Local 633-634, Maipú;Offline;Lifestyle;0;2.099.076,70;0,00;1019784,007
Preunic;3394356;051 Preunic - OHiggins 513, Copiapó;Offline;Lifestyle;4.334.075,20;5.193.331,36;4.492.903,31;3534915,23
Preunic;3400936;127 Preunic - Gobernador Carlos Bories 858, Punta Arenas;Offline;Lifestyle;3.676.190,84;3.917.107,53;3.581.036,06;4117983,1
Preunic;3399519;123 Preunic - Independecia 584, Rancagua;Offline;Lifestyle;4.489.242,87;3.138.294,18;4.179.056,28;3113189,94
Preunic;3411569;133 Preunic - UNO SUR 1582, 1588 y 1590;Offline;Lifestyle;6.902.354,62;6.808.978,89;6.622.579,67;6539979,39
Maicao;3394437;296 Maicao - Presidente Jorge Alessandri Rodríguez 20040, San Bernardo;Offline;Lifestyle;2.080.023,88;2.348.064,93;2.303.628,08;2042071,214
Maicao;3399222;232 Maicao - Av. Bernardo OHiggins 1074, Talagante;Offline;Lifestyle;3.753.684,91;4.223.147,89;4.488.371,02;4052936,224
Maicao;3399036;207 Maicao - Pedro Montt 2098, Valparaíso;Offline;Lifestyle;2.274.992,96;1.945.958,02;1.615.299,06;1269176,007
Maicao;3399179;062 Maicao - Pudeto 254, Ancud;Offline;Lifestyle;5.007.284,75;595.289,00;4.378.434,20;2557330,016
Maicao;3399158;405 Maicao - Camilo Henríquez 425, Villarrica;Offline;Lifestyle;2.919.438,84;2.988.931,93;3.104.930,05;2531709,102
Maicao;3394399;073 Maicao - Manuel Antonio Matta 2465, Antofagasta;Offline;Lifestyle;1.819.740,93;1.727.654,98;1.576.015,01;1331588,116
Maicao;3399087;094 Maicao - Arturo Prat 2378-2382, San Javier de Loncomilla;Offline;Lifestyle;8.838.800,68;7.677.272,96;7.914.834,14;6029359,006
Maicao;3399180;086 Maicao - San Martín 595, Castro;Offline;Lifestyle;4.156.554,82;2.967.696,95;3.527.484,18;2139126,055
Maicao;3394498;412 Maicao - Av. Concha y Toro 26, Puente Alto;Offline;Lifestyle;2.550.424,96;1.971.157,95;2.448.062,09;2094290,032
Maicao;3410739;500 Maicao - Unión Latinoamericana 34n;Offline;Lifestyle;713.952,97;469.133,01;1.073.236,99;737805,9857
Maicao;3399187;215 Maicao - Illapel 10, Puerto Montt;Offline;Lifestyle;2.088.831,91;2.220.776,92;1.790.819,03;1371797,074
Maicao;3394397;065 Maicao - 21 de Mayo #233, Arica;Offline;Lifestyle;1.354.945,90;1.022.516,94;1.102.431,01;913324,0242
Maicao;3436378;469 Maicao - Av. Irarrázaval 2771, Ñuñoa;Offline;Lifestyle;952.463,95;1.526.819,99;988.152,01;1117682,094
Maicao;3399251;003 Maicao - Meiggs 24, Santiago;Offline;Lifestyle;1.021.066,97;842.765,00;745.137,99;1258826,042
Preunic;3394360;085 Preunic - Maipú 110, Copiapó;Offline;Lifestyle;4.082.108,17;3.871.767,34;3.984.501,99;3274972,82
Preunic;3394312;011 Preunic - Av. Uruguay 359, Valparaíso;Offline;Lifestyle;2.781.063,32;2.569.789,53;3.056.593,54;2336492,41
Preunic;3436275;136 Preunic - Del Salvador 417, Puerto Varas;Offline;Lifestyle;2.642.517,57;2.736.562,08;3.109.687,77;2319446,85
Preunic;3399540;040 Preunic - Alameda 3105, Santiago;Offline;Lifestyle;1.331.903,93;953.294,72;714.392,70;656824,07
Preunic;3399527;019 Preunic - Urmeneta 580, Puerto Montt;Offline;Lifestyle;2.609.856,83;2.273.976,95;3.030.552,77;1484733,25
Preunic;3394342;033 Preunic - Av. Diego Portales 968, Temuco;Offline;Lifestyle;1.969.566,62;2.021.373,27;1.976.649,50;1349830,09
Maicao;3410738;457 Maicao - Manuel Bulnes # 537, local 101;Offline;Lifestyle;1.528.313,94;1.471.568,96;1.394.689,02;815064,0463
Maicao;3399026;090 Maicao - Chacabuco 232, Quillota;Offline;Lifestyle;2.560.674,88;2.193.597,90;2.593.872,00;1859731,131
Maicao;3394496;235 Maicao - Jose Luis Coo 113, Puente Alto;Offline;Lifestyle;2.472.624,80;2.443.600,97;2.042.032,00;1782234,107
Maicao;3399117;253 Maicao - Arturo Prat 1280, Curanilahue;Offline;Lifestyle;7.175.088,61;5.734.167,86;5.876.999,12;5200315,97
Maicao;3399246;067 Maicao - Av. Camilo Henríquez 3692, Puente Alto;Offline;Lifestyle;1.706.668,82;1.556.987,98;2.071.574,05;2166894,145
Maicao;3394297;450 Maicao - Manuel Bulnes 499, Salamanca;Offline;Lifestyle;4.376.141,77;3.561.724,93;3.372.998,18;3342974,013
Maicao;No Definido;478 Maicao - Pedro Aguirre Cerda 10578, local 105 y 106, Antofagasta;Offline;Lifestyle;0;1.530.044,98;0,00;1019784,007
Maicao;3399252;202 Maicao - Alameda 1483, Santiago;Offline;Lifestyle;774.678,91;849.708,98;604.392,97;624418,9896
Maicao;No Definido;477 Maicao - El Roble 770, local 6-8, Chillán;Offline;Lifestyle;0;1.357.018,93;0,00;1019784,007
Preunic;3394316;026 Preunic - Av. Valparaíso 449, Viña del Mar;Offline;Lifestyle;1.931.331,92;1.783.385,17;2.322.275,48;1663247,53
Preunic;3399539;072 Preunic - Av. Libertador Bernardo OHiggins 1395, Santiago;Offline;Lifestyle;1.114.808,66;1.024.371,04;1.133.091,82;917465,01
Preunic;3436325;137 Preunic - Av. Andres Bello 2425, Providencia;Offline;Lifestyle;3.605.608,37;3.632.638,03;3.655.113,56;3638414,29
Preunic;3394324;117 Preunic - Valparaíso 610-612, Valparaíso;Offline;Lifestyle;2.097.022,76;2.492.084,91;2.384.468,45;2276277,22
Preunic;3394321;070 Preunic - Arturo Prat 982, San Felipe;Offline;Lifestyle;3.012.551,64;2.396.189,95;2.327.316,32;1820434,63
Preunic;3394530;060 Preunic - Puente 722, Santiago;Offline;Lifestyle;976.510,43;902.298,46;1.307.514,88;1125753,09
Maicao;3399029;219 Maicao - Urmeneta 64, Limache;Offline;Lifestyle;2.394.195,96;2.539.673,91;1.744.213,10;1962884,02
Maicao;3394423;028 Maicao - Av. Vicuña Mackenna 6100, La Florida;Offline;Lifestyle;2.511.708,84;2.556.799,87;2.019.466,94;2435059,182
Maicao;3399127;448 Maicao - Manuel Montt 480, Coronel;Offline;Lifestyle;1.230.293,94;1.070.179,98;1.271.632,00;1175184,976
Maicao;3394432;069 Maicao - Av. Américo Vespucio 75, La Cisterna;Offline;Lifestyle;6.042.889,81;5.387.519,94;5.900.719,03;4755613,339
Maicao;3394438;413 Maicao - José Miguel Carrera 6151, San Miguel;Offline;Lifestyle;2.363.096,92;2.066.839,93;2.461.836,07;2500581,094
Maicao;3399027;443 Maicao - Av. Urmeneta 119, Limache;Offline;Lifestyle;2.929.511,82;2.752.285,93;2.314.236,11;2229120,007
Maicao;3394393;260 Maicao - Condell 1391, Valparaíso;Offline;Lifestyle;1.612.874,85;1.376.307,96;1.638.955,05;1076993,007
Maicao;3399224;201 Maicao - Av. 5 de Abril #177-A, Maipú;Offline;Lifestyle;2.151.962,95;2.897.549,93;2.581.947,06;2137045,078
Maicao;3399327;257 Maicao - Martínez de Rosas 592, Panguipulli;Offline;Lifestyle;2.718.475,89;1.970.523,94;2.496.416,05;2004749,018
Maicao;3399219;054 Maicao - Av. Pajaritos 1948, Maipú;Offline;Lifestyle;6.305.726,62;5.780.073,83;5.802.887,99;5021844,304
Maicao;3399221;029 Maicao - Balmaceda 26, Buin;Offline;Lifestyle;5.278.633,81;4.841.379,88;4.433.036,12;3904968,197
Maicao;No Definido;999 Maicao - Sin Dirección;Offline;Lifestyle;-105.995,99;-43.198,00;0,00;1019784,007
Maicao;3394293;218 Maicao - Aldunate 1416, Coquimbo;Offline;Lifestyle;2.319.815,01;1.483.145,98;2.131.548,05;1592357,159
Maicao;3399098;037 Maicao - Prat 520, Curicó;Offline;Lifestyle;1.703.789,84;1.359.167,95;1.686.004,04;824268,0656
Maicao;3394396;425 Maicao - Av. Argentina 602, Valparaíso;Offline;Lifestyle;2.056.911,98;2.252.601,93;2.311.295,06;2510043,057
Maicao;No Definido;481 Maicao - Sin Direccion;Offline;Lifestyle;0;1.084.072,02;0,00;1019784,007
Preunic;3394422;046 Preunic - Av. Providencia 1320, Providencia;Offline;Lifestyle;1.628.850,58;1.197.220,92;1.171.487,17;1053852,1
Preunic;3394515;002 Preunic - Estado 370, Santiago;Offline;Lifestyle;4.984.220,99;5.419.133,86;4.917.647,63;3762092,18
Preunic;3394340;025 Preunic - Lautaro 170, Angol;Offline;Lifestyle;8.841.860,65;8.437.174,97;8.088.744,16;6171115,09
Preunic;3394487;006 Preunic - José Luis Coo 040, Puente Alto;Offline;Lifestyle;3.634.436,12;2.851.890,93;3.121.148,66;2673684,86
Preunic;3399715;116 Preunic - Av. Pedro Montt 1872, Valparaíso;Offline;Lifestyle;3.189.428,48;3.036.425,42;2.891.766,64;2036013,84
Preunic;3399545;115 Preunic - Llano Subercaseaux 3519, San Miguel;Offline;Lifestyle;3.146.916,92;3.073.622,44;3.458.051,94;2649539,76
Preunic;3399529;122 Preunic - Francisco Bilbao 303, Aysén;Offline;Lifestyle;5.770.940,70;5.637.064,51;5.251.065,40;5063141,79
Preunic;3400931;128 Preunic - Bandera 101 Local 4, Santiago;Offline;Lifestyle;977.402,93;944.582,73;931.050,05;763218,4
Preunic;3394518;010 Preunic - Puente 689, Santiago;Offline;Lifestyle;1.104.691,28;1.243.513,11;1.155.429,31;969257,38
Maicao;3399255;046 Maicao - Alameda 3780, Estación Central;Offline;Lifestyle;981.461,01;1.869.969,97;1.341.122,07;2044489,139
Maicao;3394401;258 Maicao - 21 de Mayo #465, Arica;Offline;Lifestyle;402.984,98;477.282,00;588.253,00;1015763,044
Maicao;3399266;455 Maicao - José Joaquín Prieto # 5531, Local 1006;Offline;Lifestyle;1.542.239,86;1.431.947,97;1.491.874,00;1334345,977
Maicao;3399267;409 Maicao - Av. Bernardo OHiggins 5239, Lo Prado;Offline;Lifestyle;1.797.787,97;1.698.761,96;1.757.496,07;2031593,026
Maicao;3399225;249 Maicao - Av. Inmaculada Concepción 060, Colina;Offline;Lifestyle;1.850.908,86;1.860.466,96;2.213.681,13;1436652,966
Maicao;3399182;229 Maicao - Paseo Talca 120-122, Puerto Montt;Offline;Lifestyle;1.978.576,97;1.677.971,00;1.525.302,04;1153827,094
Maicao;3399092;061 Maicao - Av. Circunvalación Oriente 1055, Talca;Offline;Lifestyle;5.294.275,75;5.558.096,93;4.342.143,01;4420902,253
Maicao;3399264;261 Maicao - Providencia 2591, Providencia;Offline;Lifestyle;907.700,95;627.122,02;785.580,98;683375,0168
Maicao;3399227;210 Maicao - Ortuzar 935, Melipilla;Offline;Lifestyle;1.589.701,84;0;1.324.639,12;0
Maicao;3399243;252 Maicao - San Francisco de Borja, Local 300, Estación Central;Offline;Lifestyle;1.956.132,91;1.710.080,96;1.713.024,05;1621621,068
Maicao;3399233;031 Maicao - Av. Recoleta 2293, Recoleta;Offline;Lifestyle;1.304.229,96;1.730.671,00;1.193.919,06;957047,9919
Maicao;3399157;095 Maicao - Av. Gerónimo de Alderete 623, Villarrica;Offline;Lifestyle;3.461.143,81;3.457.867,85;2.763.340,00;2116201,133
Maicao;3436206;474 Maicao - Av. Providencia 1303, Providencia;Offline;Lifestyle;147.897,97;852.994,02;665.254,03;829635,0013
Preunic;3394328;042 Preunic - Paseo Arturo Prat 651, Antofagasta;Offline;Lifestyle;6.460.168,47;5.546.285,36;5.619.335,89;7474324,55
Preunic;3394533;105 Preunic - Av. Américo Vespucio 399, Maipú;Offline;Lifestyle;3.173.313,50;3.684.198,35;3.486.376,32;3736511,94
Preunic;No Definido;146 Preunic - Germán Riesco N 946 A, San Vicente de Tagua Tagua;Offline;Lifestyle;0;1.273.014,40;0,00;1019784,007
Preunic;3436291;135 Preunic - Alberto Solari 1400, La Serena;Offline;Lifestyle;1.804.350,59;2.284.501,31;1.631.609,00;1811807,13
Preunic;3436274;139 Preunic - Av. Vicente Méndez 1545-1671, Chillán;Offline;Lifestyle;0;3.088.921,08;1.042.062,77;2372282,85
Preunic;3400921;118 Preunic - Pedro Aguirre Cerda 702, Lota;Offline;Lifestyle;2.579.885,49;3.242.108,59;2.391.081,28;2599565,71
Preunic;3394354;029 Preunic - Aldunate 1334, Coquimbo;Offline;Lifestyle;1.620.780,00;1.503.946,99;1.439.220,51;1452254,58
Maicao;3399183;213 Maicao - Antonio Varas 834, Puerto Montt;Offline;Lifestyle;2.133.915,94;2.182.826,94;1.487.635,06;1341884,996
Maicao;3394436;284 Maicao - Av. Vicuña Mackenna 7287, La Florida;Offline;Lifestyle;1.059.902,99;1.237.751,99;890.926,09;868227,9984
Maicao;3399022;032 Maicao - Claudio Vicuña 932, Quilpué;Offline;Lifestyle;2.908.906,98;2.258.551,92;2.611.058,09;1832802,11
Maicao;3399093;022 Maicao - Chacabuco 411, Linares;Offline;Lifestyle;5.729.846,56;5.435.118,98;5.992.357,05;4197608,047
Maicao;3394400;091 Maicao - Eleuterio Ramírez 1920, Calama;Offline;Lifestyle;2.238.124,88;1.222.599,99;1.590.437,95;1095306,107
Maicao;3399064;214 Maicao - Manuel Rodríguez 734, San Fernando;Offline;Lifestyle;2.255.951,85;1.502.325,92;1.932.717,04;1495908,147
Maicao;3399021;024 Maicao - Valparaíso 716, Villa Alemana;Offline;Lifestyle;4.181.468,86;3.533.183,97;3.897.084,02;3218280,113
Maicao;3399326;212 Maicao - Picarte 353, Valdivia;Offline;Lifestyle;2.268.056,96;1.999.889,95;2.049.596,04;1376719,128
Maicao;3394390;053 Maicao - Av. Centenario 158, San Antonio;Offline;Lifestyle;1.769.143,93;1.756.395,01;1.473.684,96;1483382,065
Maicao;3399155;251 Maicao - General Lagos 570, Victoria;Offline;Lifestyle;5.976.429,67;5.328.430,92;4.325.612,16;3982893,146
Maicao;3399091;017 Maicao - Uno Sur 1598, Talca;Offline;Lifestyle;4.280.041,76;3.714.946,96;3.700.038,93;3013844,254
Maicao;3399185;426 Maicao - Av. Diego Portales 1001, Puerto Montt;Offline;Lifestyle;2.349.457,96;2.086.762,89;1.970.443,08;1796198,055
Maicao;3399090;081 Maicao - Aníbal Pinto 632, Parral;Offline;Lifestyle;6.399.757,70;7.519.556,81;7.122.052,21;6276266,084
Maicao;3394294;245 Maicao - Vicuña Mackenna 01, Ovalle;Offline;Lifestyle;4.637.327,80;4.166.699,84;3.520.062,99;2885599,251
Maicao;3399250;230 Maicao - Huérfanos 1157, Santiago;Offline;Lifestyle;786.566,00;786.022,00;670.696,05;671479,0628
